Name, Country 1, Country 2, Age, Position, Previous Club, Next Club, Transfer Fee
Laurent Koscielny, France, Poland, 24, CB, FC Lorient, Arsenal FC, Summer, 2010, 12.50 Mill. €
Sébastien Squillaci, France, None, 30, CB, Sevilla FC, Arsenal FC, Summer, 2010, 6.50 Mill. €
Marouane Chamakh, Morocco, France, 26, CF, G. Bordeaux, Arsenal FC, Summer, 2010, Free transfer
Eduardo, Croatia, Brazil, 27, CF, Arsenal FC, Shakhtar D., Summer, 2010, 7.20 Mill. €
Jay Simpson, England, Grenada, 21, CF, Arsenal FC, Hull City, Summer, 2010, 1.50 Mill. €
Rene Steer, England, None, 20, LB, Arsenal FC, Staines Town FC, Summer, 2010, Free transfer
Philippe Senderos, Switzerland, Spain, 25, CB, Arsenal FC, Fulham, Summer, 2010, Free transfer
Mikaël Silvestre, France, Guadeloupe, 33, CB, Arsenal FC, Werder Bremen, Summer, 2010, Free transfer
Fran Mérida, Spain, None, 20, CM, Arsenal FC, Atlético Madrid, Summer, 2010, Free transfer
Sol Campbell, England, Jamaica, 35, CB, Arsenal FC, Newcastle, Summer, 2010, Free transfer
William Gallas, France, Guadeloupe, 33, CB, Arsenal FC, Spurs, Summer, 2010, Free transfer
Kerrea Gilbert, England, None, 23, RB, Arsenal FC, None, Summer, 2010, -
Kenwyne Jones, Trinidad and Tobago, None, 25, CF, Sunderland, Stoke City, Summer, 2010, 9.70 Mill. €
Marc Wilson, Ireland, Northern Ireland, 23, CB, Portsmouth FC, Stoke City, Summer, 2010, 3.60 Mill. €
Jonathan Walters, Ireland, England, 26, RW, Ipswich, Stoke City, Summer, 2010, 3.30 Mill. €
Eidur Gudjohnsen, Iceland, None, 31, CF, Monaco, Stoke City, Summer, 2010, 2.50 Mill. €
Carlo Nash, England, None, 36, GK, Everton, Stoke City, Summer, 2010, Free transfer
James Beattie, England, None, 32, CF, Stoke City, Rangers, Summer, 2010, 1.80 Mill. €
Andy Griffin, England, None, 31, RB, Stoke City, Reading, Summer, 2010, 475 Th. €
Dave Kitson, England, None, 30, CF, Stoke City, Portsmouth FC, Summer, 2010, Swap deal
Amdy Fayé, Senegal, France, 33, DM, Stoke City, Leeds, Summer, 2010, Free transfer
Warwick Alexander, England, None, 18, Striker, Stoke City, Rugby Town, Summer, 2010, Free transfer
Steve Simonsen, England, Denmark, 31, GK, Stoke City, Sheffield Utd., Summer, 2010, Free transfer
Steven Fletcher, Scotland, England, 23, CF, Burnley, Wolverhampton Wanderers, Summer, 2010, 7.20 Mill. €
Stephen Hunt, Ireland, None, 28, LM, Hull City, Wolverhampton Wanderers, Summer, 2010, 3.60 Mill. €
Jelle Van Damme, Belgium, None, 26, CB, RSC Anderlecht, Wolverhampton Wanderers, Summer, 2010, 3.25 Mill. €
Steven Mouyokolo, France, Congo, 23, CB, Hull City, Wolverhampton Wanderers, Summer, 2010, 3.00 Mill. €
Adlène Guédioura, Algeria, France, 24, CM, RSC Charleroi, Wolverhampton Wanderers, Summer, 2010, 2.30 Mill. €
Matt Doherty, Ireland, None, 18, RB, Bohemians, Wolverhampton Wanderers, Summer, 2010, 25 Th. €
Jake Cassidy, Wales, None, 17, CF, Airbus UK BFC, Wolverhampton Wanderers, Summer, 2010, ?
Andrew Surman, England, South Africa, 23, CM, Wolverhampton Wanderers, Norwich, Summer, 2010, 1.68 Mill. €
Jason Shackell, England, None, 26, CB, Wolverhampton Wanderers, Barnsley FC, Summer, 2010, 785 Th. €
Chris Iwelumo, Scotland, Nigeria, 31, CF, Wolverhampton Wanderers, Burnley, Summer, 2010, 475 Th. €
Dan Jones, England, None, 23, LB, Wolverhampton Wanderers, Sheff Wed, Summer, 2010, Free transfer
Kyle Bennett, England, Jamaica, 19, LW, Wolverhampton Wanderers, Bury, Summer, 2010, Free transfer
George Friend, England, None, 22, LB, Wolverhampton Wanderers, Doncaster Rov., Summer, 2010, Free transfer
Paul McCone, England, None, 18, CB, Wolverhampton Wanderers, Stourbridge, Summer, 2010, Free transfer
Matt Hill, England, None, 29, LB, Wolverhampton Wanderers, Barnsley FC, Summer, 2010, Free transfer
Matt Murray, England, None, 29, GK, Wolverhampton Wanderers, None, Summer, 2010, -
Ramires, Brazil, None, 23, CM, Benfica, Chelsea FC, Summer, 2010, 22.00 Mill. €
Yossi Benayoun, Israel, None, 30, RW, Liverpool, Chelsea FC, Summer, 2010, 7.00 Mill. €
Tomás Kalas, Czech Republic, None, 17, CB, Sigma Olomouc, Chelsea FC, Summer, 2010, 6.00 Mill. €
Matej Delac, Croatia, None, 17, GK, Inter Zapresic, Chelsea FC, Summer, 2010, 3.00 Mill. €
Ricardo Carvalho, Portugal, None, 32, CB, Chelsea FC, Real Madrid, Summer, 2010, 8.00 Mill. €
Miroslav Stoch, Slovakia, None, 20, LW, Chelsea FC, Fenerbahce, Summer, 2010, 5.50 Mill. €
Franco Di Santo, Argentina, Italy, 21, CF, Chelsea FC, Wigan, Summer, 2010, 2.40 Mill. €
Scott Sinclair, England, None, 21, LM, Chelsea FC, Swansea, Summer, 2010, 600 Th. €
Michael Ballack, Germany, None, 33, CM, Chelsea FC, Bay. Leverkusen, Summer, 2010, Free transfer
Joe Cole, England, None, 28, AM, Chelsea FC, Liverpool, Summer, 2010, Free transfer
Deco, Portugal, Brazil, 32, AM, Chelsea FC, Fluminense, Summer, 2010, Free transfer
Liam Bridcutt, Scotland, England, 21, DM, Chelsea FC, Brighton, Summer, 2010, Free transfer
Juliano Belletti, Brazil, Italy, 34, RB, Chelsea FC, Fluminense, Summer, 2010, Free transfer
Cheik Tioté †, Cote d'Ivoire, None, 24, DM, FC Twente, Newcastle United, Summer, 2010, 4.28 Mill. €
James Perch, England, Jamaica, 24, RB, Nottm Forest, Newcastle United, Summer, 2010, 1.20 Mill. €
Sol Campbell, England, Jamaica, 35, CB, Arsenal, Newcastle United, Summer, 2010, Free transfer
Dan Gosling, England, None, 20, CM, Everton, Newcastle United, Summer, 2010, Free transfer
Nicky Butt, England, None, 35, CM, Newcastle United, None, Summer, 2010, -
Wesley Ngo Baheng, France, Cameroon, 20, CF, Newcastle United, None, Summer, 2010, -
Jonny Godsmark, England, None, 20, Midfielder, Newcastle United, None, Summer, 2010, -
Fabrice Pancrate, France, Martinique, 30, RW, Newcastle United, None, Summer, 2010, -
Mousa Dembélé, Belgium, Mali, 23, CM, AZ Alkmaar, Fulham FC, Summer, 2010, 6.00 Mill. €
Rafik Halliche, Algeria, None, 23, CB, Benfica, Fulham FC, Summer, 2010, 2.50 Mill. €
Carlos Salcido, Mexico, None, 30, CB, PSV Eindhoven, Fulham FC, Summer, 2010, 1.95 Mill. €
Philippe Senderos, Switzerland, Spain, 25, CB, Arsenal, Fulham FC, Summer, 2010, Free transfer
Jonathan Greening, England, None, 31, CM, West Brom, Fulham FC, Summer, 2010, Free transfer
Chris Smalling, England, None, 20, CB, Fulham FC, Man Utd, Summer, 2010, 8.00 Mill. €
Paul Konchesky, England, None, 29, LB, Fulham FC, Liverpool, Summer, 2010, 4.00 Mill. €
Elliot Omozusi, England, Nigeria, 22, RB, Fulham FC, Leyton Orient, Summer, 2010, Free transfer
Wayne Brown, England, None, 21, AM, Fulham FC, Bristol Rovers, Summer, 2010, Free transfer
Michael Uwezu, England, Nigeria, 19, CF, Fulham FC, Dulwich Hamlet FC, Summer, 2010, Free transfer
Toni Kallio, Finland, None, 31, CB, Fulham FC, Viking, Summer, 2010, Free transfer
Erik Nevland, Norway, None, 32, CF, Fulham FC, Viking, Summer, 2010, Free transfer
Bruno Luz, Portugal, None, 21, LW, Fulham FC, Apol. Limassol, Summer, 2010, Free transfer
Stefan Payne, England, None, 18, CF, Fulham FC, Gillingham FC, Summer, 2010, Free transfer
Andranik Teymourian, Iran, None, 27, DM, Fulham FC, None, Summer, 2010, -
King Gyan, Ghana, None, 21, DM, Fulham FC, None, Summer, 2010, -
Somen Tchoyi, Cameroon, None, 27, AM, RB Salzburg, West Bromwich Albion, Summer, 2010, 3.00 Mill. €
