Name, Country1,Country2, Age, Position,PreviousClub,NextClub,Season,Year,TransferFee
Laurent Koscielny,France,Poland,24,CB,FC Lorient,Arsenal FC,Summer,2010,12500000.0
S�bastien Squillaci,France,None,30,CB,Sevilla FC,Arsenal FC,Summer,2010,6500000.0
Marouane Chamakh,Morocco,France,26,CF,G. Bordeaux,Arsenal FC,Summer,2010,0
Eduardo,Croatia,Brazil,27,CF,Arsenal FC,Shakhtar D.,Summer,2010,7200000.0
Jay Simpson,England,Grenada,21,CF,Arsenal FC,Hull City,Summer,2010,1500000.0
Rene Steer,England,None,20,LB,Arsenal FC,Staines Town FC,Summer,2010,0
Philippe Senderos,Switzerland,Spain,25,CB,Arsenal FC,Fulham,Summer,2010,0
Mika�l Silvestre,France,Guadeloupe,33,CB,Arsenal FC,Werder Bremen,Summer,2010,0
Fran M�rida,Spain,None,20,CM,Arsenal FC,Atl�tico Madrid,Summer,2010,0
Sol Campbell,England,Jamaica,35,CB,Arsenal FC,Newcastle,Summer,2010,0
William Gallas,France,Guadeloupe,33,CB,Arsenal FC,Spurs,Summer,2010,0
Kerrea Gilbert,England,None,23,RB,Arsenal FC,None,Summer,2010,-1
Kenwyne Jones,Trinidad and Tobago,None,25,CF,Sunderland,Stoke City,Summer,2010,9700000.0
Marc Wilson,Ireland,Northern Ireland,23,CB,Portsmouth FC,Stoke City,Summer,2010,3600000.0
Jonathan Walters,Ireland,England,26,RW,Ipswich,Stoke City,Summer,2010,3300000.0
Eidur Gudjohnsen,Iceland,None,31,CF,Monaco,Stoke City,Summer,2010,2500000.0
Carlo Nash,England,None,36,GK,Everton,Stoke City,Summer,2010,0
James Beattie,England,None,32,CF,Stoke City,Rangers,Summer,2010,1800000.0
Andy Griffin,England,None,31,RB,Stoke City,Reading,Summer,2010,475000.0
Dave Kitson,England,None,30,CF,Stoke City,Portsmouth FC,Summer,2010,0
Amdy Fay�,Senegal,France,33,DM,Stoke City,Leeds,Summer,2010,0
Warwick Alexander,England,None,18,Striker,Stoke City,Rugby Town,Summer,2010,0
Steve Simonsen,England,Denmark,31,GK,Stoke City,Sheffield Utd.,Summer,2010,0
Steven Fletcher,Scotland,England,23,CF,Burnley,Wolverhampton Wanderers,Summer,2010,7200000.0
Stephen Hunt,Ireland,None,28,LM,Hull City,Wolverhampton Wanderers,Summer,2010,3600000.0
Jelle Van Damme,Belgium,None,26,CB,RSC Anderlecht,Wolverhampton Wanderers,Summer,2010,3250000.0
Steven Mouyokolo,France,Congo,23,CB,Hull City,Wolverhampton Wanderers,Summer,2010,3000000.0
Adl�ne Gu�dioura,Algeria,France,24,CM,RSC Charleroi,Wolverhampton Wanderers,Summer,2010,2300000.0
Matt Doherty,Ireland,None,18,RB,Bohemians,Wolverhampton Wanderers,Summer,2010,25000.0
Jake Cassidy,Wales,None,17,CF,Airbus UK BFC,Wolverhampton Wanderers,Summer,2010,-1
